id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
175,542,0,132,90,25,67.8125,139.796875,0.9019503593444824,0.9710144996643066,0,0,620,389
176,652,209,61,18,51,222.8125,103.328125,0.8978044986724854,0.9550225138664246,0,0,620,389
177,447,364,92,24,28,377.8125,103.328125,0.8970231413841248,0.9561403393745422,0,0,620,389
178,144,551,72,13,14,552.1875,79.015625,0.8967912197113037,0.9862068891525269,0,0,620,389
179,373,236,303,35,27,242.1875,309.984375,0.8964985013008118,0.9657894968986511,0,0,620,389
180,304,474,34,36,41,494.0625,54.703125,0.8964688181877136,0.9706840515136719,0,0,620,389
181,286,279,16,18,18,280.9375,30.390625,0.8964155316352844,0.9619377255439758,0,0,620,389
182,4122,134,126,127,58,242.1875,164.109375,0.8961912393569946,0.9570581316947937,0,0,620,389
183,730,411,18,19,54,416.5625,30.390625,0.8943753242492676,0.9521912336349487,0,0,620,389
184,410,86,302,25,21,106.5625,309.984375,0.8923125267028809,0.963942289352417,0,0,620,389
185,252,37,168,24,15,48.4375,176.265625,0.8912733793258667,0.969111979007721,0,0,620,389
186,112,316,132,19,8,319.6875,139.796875,0.8872445225715637,0.9821428656578064,0,0,620,389
187,860,389,191,93,15,455.3125,200.578125,0.8855844736099243,0.9500567317008972,0,0,620,389
188,293,429,19,12,29,435.9375,30.390625,0.8830561637878418,0.9662162065505981,0,0,620,389
189,2003,266,0,87,31,339.0625,18.234375,0.8819580078125,0.951361894607544,0,0,620,389
190,994,432,61,46,44,455.3125,91.171875,0.8806087970733643,0.9524752497673035,0,0,620,389
